Date,TractID,Season,Holiday,Weekday,Workingday,Temp,Humidity,Windspeed,Weather,Casual,Reg,TotalCnt
2013-01-02,21,1,0,3,1,2,51,15,2,1,33,34
2013-01-02,22,1,0,3,1,2,51,15,2,0,8,8
2013-01-02,25,1,0,3,1,2,51,15,2,2,92,94
2013-01-02,26,1,0,3,1,2,51,15,2,2,57,59
2013-01-02,27,1,0,3,1,2,51,15,2,11,101,112
2013-01-02,28,1,0,3,1,2,51,15,2,1,66,67
2013-01-02,29,1,0,3,1,2,51,15,2,0,67,67
2013-01-02,30,1,0,3,1,2,51,15,2,1,59,60
2013-01-02,31,1,0,3,1,2,51,15,2,1,28,29
2013-01-02,32,1,0,3,1,2,51,15,2,8,45,53
2013-01-02,34,1,0,3,1,2,51,15,2,4,72,76
2013-01-02,36,1,0,3,1,2,51,15,2,17,203,220
2013-01-02,37,1,0,3,1,2,51,15,2,6,51,57
2013-01-02,38,1,0,3,1,2,51,15,2,9,154,163
2013-01-02,39,1,0,3,1,2,51,15,2,21,164,185
2013-01-02,40,1,0,3,1,2,51,15,2,14,108,122
2013-01-02,41,1,0,3,1,2,51,15,2,85,119,204
2013-01-02,42,1,0,3,1,2,51,15,2,2,28,30
2013-01-02,43,1,0,3,1,2,51,15,2,0,37,37
2013-01-02,44,1,0,3,1,2,51,15,2,1,23,24
2013-01-02,45,1,0,3,1,2,51,15,2,0,17,17
2013-01-02,46,1,0,3,1,2,51,15,2,5,103,108
2013-01-02,47,1,0,3,1,2,51,15,2,0,16,16
2013-01-02,48,1,0,3,1,2,51,15,2,1,49,50
2013-01-02,49,1,0,3,1,2,51,15,2,0,1,1
2013-01-02,50,1,0,3,1,2,51,15,2,0,1,1
2013-01-02,51,1,0,3,1,2,51,15,2,0,2,2
2013-01-02,52,1,0,3,1,2,51,15,2,0,6,6
2013-01-02,53,1,0,3,1,2,51,15,2,0,3,3
2013-01-02,55,1,0,3,1,2,51,15,2,0,82,82
2013-01-02,56,1,0,3,1,2,51,15,2,4,26,30
2013-01-02,57,1,0,3,1,2,51,15,2,0,57,57
2013-01-02,58,1,0,3,1,2,51,15,2,2,45,47
2013-01-02,59,1,0,3,1,2,51,15,2,0,17,17
2013-01-02,60,1,0,3,1,2,51,15,2,0,10,10
2013-01-02,61,1,0,3,1,2,51,15,2,0,12,12
2013-01-02,63,1,0,3,1,2,51,15,2,0,7,7
2013-01-02,64,1,0,3,1,2,51,15,2,0,2,2
2013-01-02,65,1,0,3,1,2,51,15,2,0,1,1
2013-01-02,66,1,0,3,1,2,51,15,2,0,1,1
2013-01-02,67,1,0,3,1,2,51,15,2,23,134,157
2013-01-02,68,1,0,3,1,2,51,15,2,9,90,99
2013-01-02,70,1,0,3,1,2,51,15,2,3,31,34
2013-01-02,71,1,0,3,1,2,51,15,2,4,180,184
2013-01-02,72,1,0,3,1,2,51,15,2,11,300,311
2013-01-02,73,1,0,3,1,2,51,15,2,2,105,107
2013-01-02,76,1,0,3,1,2,51,15,2,2,29,31
2013-01-02,77,1,0,3,1,2,51,15,2,0,35,35
2013-01-02,78,1,0,3,1,2,51,15,2,1,31,32
2013-01-02,79,1,0,3,1,2,51,15,2,3,21,24
2013-01-02,80,1,0,3,1,2,51,15,2,0,6,6
2013-01-02,81,1,0,3,1,2,51,15,2,0,2,2
2013-01-02,92,1,0,3,1,2,51,15,2,0,61,61
2013-01-02,93,1,0,3,1,2,51,15,2,2,20,22
2013-01-02,94,1,0,3,1,2,51,15,2,0,5,5
2013-01-02,96,1,0,3,1,2,51,15,2,1,10,11
2013-01-02,97,1,0,3,1,2,51,15,2,1,5,6
2013-01-02,98,1,0,3,1,2,51,15,2,3,18,21
2013-01-02,114,1,0,3,1,2,51,15,2,0,1,1
2013-01-03,1,1,0,4,1,1,53,10,2,9,73,82
2013-01-03,2,1,0,4,1,1,53,10,2,2,9,11
2013-01-03,3,1,0,4,1,1,53,10,2,2,13,15
2013-01-03,4,1,0,4,1,1,53,10,2,0,14,14
2013-01-03,5,1,0,4,1,1,53,10,2,0,7,7
2013-01-03,6,1,0,4,1,1,53,10,2,0,21,21
2013-01-03,7,1,0,4,1,1,53,10,2,1,4,5
2013-01-03,8,1,0,4,1,1,53,10,2,0,14,14
